Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,192.65,271.21,15.33,3.35,13.06,15.46,10.25,2.64,19.67,0.01,NA,NA,NA,NA,0.06,17.54,77.50,0.83,136.48,0.08,7.57,250.36,900.23,NA
2022-01-02 00:00:00,140.46,226.06,15.29,3.32,13.03,14.59,10.24,1.85,19.65,0.00,NA,NA,NA,NA,0.06,17.67,78.16,0.76,129.52,0.02,1.44,295.37,891.34,NA
2022-01-03 00:00:00,136.84,237.81,15.29,3.34,13.04,15.37,9.83,1.71,20.09,0.00,NA,NA,NA,NA,0.06,18.12,78.16,0.69,134.69,0.03,2.56,263.80,899.38,NA
2022-01-04 00:00:00,150.60,282.76,15.31,3.30,13.04,14.87,10.27,1.99,21.15,0.00,NA,NA,NA,NA,0.06,17.93,77.13,0.79,124.99,0.00,0.00,262.15,892.51,NA
2022-01-05 00:00:00,129.28,234.36,15.31,3.31,13.03,14.66,9.75,1.80,21.13,0.00,NA,NA,NA,NA,0.06,18.06,73.27,0.84,134.81,0.10,9.30,253.07,894.16,NA
2022-01-06 00:00:00,121.23,244.66,15.28,3.31,13.01,14.10,9.54,1.74,20.95,0.00,NA,NA,NA,NA,0.06,18.40,74.22,0.79,127.89,0.01,1.28,276.36,894.92,NA
2022-01-07 00:00:00,130.00,246.40,15.29,3.33,13.04,14.52,9.30,1.68,20.93,0.00,NA,NA,NA,NA,0.07,19.00,73.44,0.72,129.94,0.08,7.68,259.55,894.20,NA
2022-01-08 00:00:00,121.93,257.52,15.30,3.31,13.03,14.57,9.40,1.65,20.77,0.00,NA,NA,NA,NA,0.08,18.83,73.39,0.87,115.80,0.08,8.00,250.61,892.32,NA
2022-01-09 00:00:00,127.36,244.40,15.27,3.33,13.03,14.93,9.25,1.42,20.95,3.88,NA,NA,NA,3.83,3.90,19.41,72.54,0.77,122.93,0.04,4.24,242.37,891.82,NA
2022-01-10 00:00:00,122.83,234.40,15.28,3.34,13.03,15.50,8.84,1.40,21.00,0.00,NA,NA,NA,NA,0.06,19.94,72.23,0.90,136.07,0.18,16.96,235.08,887.23,NA
