,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³)
52,2020-02-22 00:00:00,124.64,209.72,61.0,18.25,119.72,21.17,14.31,1.24,18.5
53,2020-02-23 00:00:00,118.82,203.8,59.73,21.75,121.41,20.57,14.45,1.14,18.68
54,2020-02-24 00:00:00,89.34,152.67,28.39,18.64,66.59,15.71,13.69,0.82,19.04
55,2020-02-25 00:00:00,70.12,133.29,18.88,17.94,50.24,15.1,13.19,0.57,18.57
56,2020-02-26 00:00:00,28.42,54.09,2.78,12.12,17.57,13.19,13.24,0.13,18.87
57,2020-02-27 00:00:00,50.25,86.05,19.08,15.54,47.98,13.49,13.61,0.29,19.05
58,2020-02-28 00:00:00,66.15,137.65,53.04,22.21,110.88,12.73,14.1,0.62,18.91
59,2020-02-29 00:00:00,86.69,173.08,72.43,29.71,150.69,13.23,14.03,0.74,20.2
60,2020-03-01 00:00:00,122.47,198.88,62.78,30.83,136.08,16.5,13.6,0.91,19.14
61,2020-03-02 00:00:00,88.62,180.3,39.08,29.02,95.25,16.47,13.4,0.89,18.97
62,2020-03-03 00:00:00,61.3,104.86,21.11,21.49,57.67,17.17,13.54,0.47,19.46
63,2020-03-04 00:00:00,37.65,67.73,5.01,16.13,25.49,15.2,13.37,0.22,19.27
64,2020-03-05 00:00:00,44.89,109.2,3.27,14.53,20.93,11.96,13.06,0.28,18.76
65,2020-03-06 00:00:00,59.92,103.95,12.29,15.64,36.96,12.46,13.23,0.34,18.6
66,2020-03-07 00:00:00,76.21,123.26,36.83,18.87,80.7,16.28,13.79,0.67,18.59
67,2020-03-08 00:00:00,63.81,134.67,32.32,16.26,70.47,16.82,13.58,0.57,19.07
68,2020-03-09 00:00:00,65.3,164.58,19.82,19.97,53.94,15.09,13.3,0.42,19.04
69,2020-03-10 00:00:00,96.66,164.72,22.51,22.01,60.56,13.42,13.25,0.65,19.05
70,2020-03-11 00:00:00,83.57,168.66,47.91,33.51,83.82,13.21,13.64,0.72,19.51
71,2020-03-12 00:00:00,91.3,208.47,30.33,28.37,36.44,17.43,13.63,0.71,19.03
72,2020-03-13 00:00:00,85.71,187.75,31.98,33.15,40.0,15.51,13.37,0.51,19.08
73,2020-03-14 00:00:00,91.21,200.14,23.55,21.64,28.11,14.9,13.63,0.82,19.43
74,2020-03-15 00:00:00,85.2,163.96,11.53,20.15,18.42,13.44,13.24,0.42,19.0
75,2020-03-16 00:00:00,59.99,162.15,16.29,17.17,20.51,11.49,13.48,0.52,20.15
76,2020-03-17 00:00:00,91.96,197.95,41.75,37.81,49.58,14.07,14.07,0.53,22.39
77,2020-03-18 00:00:00,104.34,218.06,53.17,42.51,60.36,14.18,13.57,0.78,19.72
78,2020-03-19 00:00:00,106.55,226.12,39.12,39.24,48.3,16.32,13.74,0.86,21.28
79,2020-03-20 00:00:00,101.86,194.14,19.89,26.4,27.69,20.7,14.38,0.77,24.32
80,2020-03-21 00:00:00,104.67,167.28,23.23,26.56,30.26,19.35,14.74,0.71,19.32
81,2020-03-22 00:00:00,110.49,153.11,13.44,17.18,18.39,17.4,14.55,0.7,18.81
82,2020-03-23 00:00:00,75.58,112.59,35.25,18.07,35.1,17.99,14.87,0.55,18.85
83,2020-03-24 00:00:00,79.69,135.28,25.64,23.41,30.53,15.98,14.85,0.43,19.19
84,2020-03-25 00:00:00,97.2,133.62,30.79,25.41,35.34,16.53,15.18,0.53,19.37
85,2020-03-26 00:00:00,103.77,143.37,15.0,22.32,22.07,18.14,15.5,0.62,19.6
86,2020-03-27 00:00:00,118.82,164.63,14.64,22.73,22.0,19.96,15.52,0.7,19.59
87,2020-03-28 00:00:00,100.98,221.34,9.88,14.75,14.55,18.39,15.67,0.64,20.19
88,2020-03-29 00:00:00,7.48,214.32,1.37,5.87,3.88,11.64,15.4,0.08,22.12
89,2020-03-30 00:00:00,20.45,150.12,14.39,19.19,20.08,12.22,14.82,0.27,28.04
90,2020-03-31 00:00:00,134.1,235.15,19.12,29.96,28.86,15.85,16.08,0.95,35.77
91,2020-04-01 00:00:00,132.59,205.65,11.38,26.6,21.45,19.74,17.37,0.98,39.66
92,2020-04-02 00:00:00,141.18,214.03,7.72,14.29,12.72,20.59,16.82,0.72,54.89
93,2020-04-03 00:00:00,96.96,215.43,4.23,15.72,10.82,13.97,15.45,0.5,40.89
94,2020-04-04 00:00:00,82.04,161.52,7.54,18.75,14.76,12.82,16.13,0.47,36.05
95,2020-04-05 00:00:00,77.96,163.85,3.81,16.15,10.7,10.14,16.13,0.47,43.73
96,2020-04-06 00:00:00,69.28,135.37,2.42,15.2,9.21,7.96,16.71,0.44,55.99
97,2020-04-07 00:00:00,83.34,233.57,0.9,6.92,4.04,6.67,16.13,0.33,67.26
98,2020-04-08 00:00:00,78.09,180.01,2.6,14.28,8.89,4.17,15.8,0.4,51.78
99,2020-04-09 00:00:00,57.32,109.43,1.3,7.28,4.51,3.63,16.56,0.34,43.06
100,2020-04-10 00:00:00,26.99,126.0,0.81,6.85,3.94,5.85,14.67,0.2,68.97
101,2020-04-11 00:00:00,61.19,95.07,2.06,9.16,5.99,12.34,15.97,0.62,44.17
